"Station_id","year","min_date","max_date","avg_salinity (ppt)","std_deviation_salinity (ppt)","min_salinity (ppt)","max_salinity (ppt)","avg_adj_water_elev_datum(ft)","std_deviation_adj_water_elev_datum(ft)","min_adj_water_elev_datum(ft)","max_adj_water_elev_datum(ft)","avg_adj_water_elev_to_marsh(ft)","std_deviation_adj_water_elev_to_marsh (ft)","min_adj_water_elev_to_marsh(ft)","max_adj_water_elev_to_marsh(ft)","avg_water_temperature (C DegC)","std_deviation_water_temperature (C DegC)","min_temperature (C DegC)","max_temperature (C DegC)","percent_salinity_complete","percent_water_level_complete","GEOID",
"CRMS0135-H01","2006","6/20/2006 11:00:00 AM","12/31/2006 11:00:00 PM","5.60542690660309","2.54132446528938","0.33","14.35","0.763432986613845","0.516083536180803","-0.96","2.96","-0.0325670127226226","0.516083535931961","-1.756","2.164","26.0288522861443","6.82821832060756","5.89","35.62","45.05708","45.05708","GEOID99   ",
"CRMS0136-H01","2006","8/23/2006 10:00:00 AM","12/31/2006 11:00:00 PM","8.01248162083249","1.82885047240106","4.02","13.46","0.6577346992274","0.670394612012803","-1.44","2.95","-0.682265298878514","0.670394613031315","-2.78","1.61","21.7269144727686","6.8182235509943","6.38","33.82","35.69635","35.62785","GEOID99   ",
"CRMS0147-H01","2006","6/8/2006 2:00:00 PM","12/31/2006 11:00:00 PM","13.5573866215571","2.5502888919504","5.94","21.84","0.601790490948365","0.71399905587434","-1.49","3.2","-0.268209507871349","0.71399905528187","-2.36","2.33","24.7851453917477","7.22385155663918","4.36","35.65","56.13013","55.46803","GEOID99   ",
"CRMS0164-H01","2006","6/5/2006 1:00:00 PM","12/31/2006 11:00:00 PM","25.468521690824","2.723415116186","16.95","31.01","0.824114603541163","0.466136723547382","-0.55","2.73","-0.10809391163589","0.466259965612059","-1.48","1.79","25.2812057412387","6.66450415780734","4.14","35.55","57.37443","57.37443","GEOID99   ",
"CRMS0173-H01","2006","6/8/2006 5:00:00 PM","12/31/2006 11:00:00 PM","19.358805514676","3.07752812790631","13.08","26.42","0.988729762372315","0.577279277569995","-0.32","3.57","0.0487297635557166","0.57727927853527","-1.26","2.63","25.1338735097968","7.07248080911718","-1.01","37.5","55.52511","55","GEOID99   ",
"CRMS0174-H01","2006","6/8/2006 11:00:00 AM","12/31/2006 11:00:00 PM","20.6157472824949","3.29237985259593","12.42","27.76","1.09467989511255","0.623407988820184","-0.57","3.57","0.104679896115391","0.623407988966214","-1.56","2.58","24.4119485367111","6.93124661350609","2.52","37.03","48.42466","48.32192","GEOID99   ",
"CRMS0175-H01","2006","6/5/2006 5:00:00 PM","12/31/2006 11:00:00 PM","22.5637690738096","3.43896505824718","11.35","29.87","","","","","","","","","25.6624809317165","7.3115183943326","2.03","38.14","53.88128","0","GEOID99   ",
"CRMS0176-H01","2006","6/8/2006 3:00:00 PM","12/31/2006 11:00:00 PM","21.3071023875944","3.70538217682751","13.79","33.61","1.02312876538807","0.616415642123153","-1.09","3.44","-0.436871234136344","0.616415642948916","-2.55","1.98","24.9238864162717","6.94479266377571","3.85","35.92","51.1758","51.15297","GEOID99   ",
"CRMS0179-H01","2006","6/21/2006 12:00:00 PM","12/31/2006 11:00:00 PM","19.1240817807703","4.26806328868009","8.4","28.05","0.938431609307635","0.646122201795045","-1.28","3.46","-0.121568390433377","0.646122201199015","-2.34","2.4","25.1371338804198","7.43428330435803","2.42","38.45","47.18037","47.23744","GEOID99   ",
"CRMS0184-W01","2006","6/5/2006 3:00:00 PM","12/31/2006 11:00:00 PM","","","","","1.38475612059262","0.315755742739516","0.5","2.4","0.634756120946388","0.315755740778694","-0.25","1.65","22.3258658341921","4.16484129783954","12.52","26.36","0","57.34018","GEOID99   ",
"CRMS0188-H01","2006","8/3/2006 1:00:00 PM","12/31/2006 11:00:00 PM","1.66843190837582","1.2687440264312","0","7.12","0.843826354854576","0.470205976719019","-0.64","2.32","","","","","23.4839910750693","6.42717147981505","6.96","33","33.19635","33.26484","GEOID99   ",
"CRMS0188-M01","2006","10/6/2006 10:00:00 AM","12/31/2006 11:00:00 PM","2.25166103560935","0.158261236893437","2.05","2.8","0.79187244317591","0.621617530541076","-0.64","2.3","-0.145336111615363","0.465009085157833","-0.84","1.23","21.5644150257799","1.55493490556583","19.04","24.16","23.71004","13.96119","GEOID99   ",
"CRMS0190-M01","2006","6/13/2006 10:00:00 AM","12/31/2006 11:00:00 PM","5.62291655937831","0.00907896061609335","5.62","5.66","0.812425689758221","0.318378228897571","0.36","2.59","-0.0323702974328764","0.332030802359801","-0.58","1.71","21.8948509765394","0.903878055349946","18.95","25.16","0.2739726","54.92009","GEOID99   ",
"CRMS0190-W01","2006","6/13/2006 9:00:00 AM","12/31/2006 11:00:00 PM","","","","","0.83497726198389","0.307434967516518","0.36","2.59","","","","","22.4553699763465","4.18647888558187","13.14","27.53","0","55.22831","GEOID99   ",
"CRMS0192-M01","2006","6/27/2006 10:00:00 AM","12/31/2006 11:00:00 PM","0.117134606800824","0.0221426995546847","0.07","0.18","0.723825805763581","0.479268887672035","-0.03","1.73","-0.457574412787291","0.485292125736027","-1.3","0.51","19.2237005521858","4.95326203492047","9.64","23.9","51.39269","45.74201","GEOID99   ",
"CRMS0192-W01","2006","6/27/2006 10:00:00 AM","12/31/2006 11:00:00 PM","","","","","0.723825805763581","0.479268887672035","-0.03","1.73","","","","","21.1800773609657","3.67934656407959","11.21","24.49","0","45.74201","GEOID99   ",
"CRMS0209-H01","2006","6/20/2006 3:00:00 PM","12/31/2006 11:00:00 PM","18.5291324350192","2.05848146961552","8.54","23.21","0.822762976174675","0.593564085537696","-0.77","3.43","-0.128360128589317","0.593888641061679","-1.72","2.48","24.5001975339884","7.08260628970599","1.3","36.17","49.73744","49.7032","GEOID99   ",
"CRMS0211-M01","2006","11/9/2006 3:00:00 PM","12/31/2006 11:00:00 PM","0.340365953654549","0.0338062061835936","0.24","0.39","0.715322193828194","0.179404745399678","0.51","1.19","-0.039554495385173","0.182151750407558","-0.25","0.44","11.7317024612579","2.17918364539132","6.54","15.93","14.34931","14.34931","GEOID99   ",
"CRMS0211-W01","2006","11/9/2006 3:00:00 PM","12/31/2006 11:00:00 PM","","","","","0.715322193828194","0.179404745399678","0.51","1.19","","","","","13.6615274417182","1.13812508064618","11.63","17.38","0","14.34931","GEOID99   ",
"CRMS0219-M01","2006","8/3/2006 1:00:00 PM","12/31/2006 11:00:00 PM","0.835155212281152","0.136833478459686","0.64","1.06","0.840675276938741","0.307445752590442","0.22","1.85","0.0439201883568337","0.332526605163634","-0.6","0.94","21.5182382221697","2.67941711996543","14.97","24.39","41.18721","38.88128","GEOID99   ",
"CRMS0219-W01","2006","8/3/2006 1:00:00 PM","12/31/2006 11:00:00 PM","","","","","0.840701494939977","0.307404425513782","0.22","1.85","","","","","","","","","0","38.8927","GEOID99   ",
"CRMS0220-H01","2006","6/13/2006 4:00:00 PM","12/31/2006 11:00:00 PM","11.5161452364866","3.37131999548877","1.96","24.19","0.810304708786399","0.429603215000906","-0.37","2.91","-0.359754953591358","0.429623096495586","-1.54","1.74","24.9390732147797","7.32410555928958","-0.49","38.04","54.07534","53.57306","GEOID99   ",
"CRMS0224-H01","2006","6/7/2006 3:00:00 PM","12/31/2006 11:00:00 PM","17.3304197896979","2.63598547761048","6.92","23.92","1.45817854767222","0.511865518326434","0.43","3.84","0.198178548465524","0.511865518334357","-0.83","2.58","24.6736655961722","7.09247789499829","-1.31","37.67","50.30822","53.96119","GEOID99   ",
"CRMS0225-H01","2006","6/21/2006 3:00:00 PM","12/31/2006 11:00:00 PM","12.0735538632475","4.01699045044465","2.18","19.61","","","","","","","","","20.541603476358","6.43424416296322","4.11","32.43","31.57534","0","GEOID99   ",
"CRMS0226-H01","2006","6/20/2006 11:00:00 AM","12/31/2006 11:00:00 PM","17.0023660663878","2.67952686863245","8.13","22.92","0.924871409548613","0.59436654565175","-1.57","3.42","-0.542696099266477","0.594355602296406","-3.04","1.95","24.731215169999","7.23756443990152","5.46","35.06","53.26484","53.26484","GEOID99   ",
"CRMS0232-H01","2006","6/6/2006 2:00:00 PM","12/31/2006 11:00:00 PM","14.280964087256","3.71957295156652","2.03","27.98","0.848528789790771","0.447438890974525","-0.35","2.99","-0.0989672476602881","0.447878445541425","-1.29","2.04","26.8758954048409","6.00290016937722","7.48","36.79","43.21918","43.21918","GEOID99   ",
"CRMS0237-H01","2006","6/7/2006 11:00:00 AM","12/31/2006 11:00:00 PM","16.1623383340381","3.39660458088279","4.09","22.96","0.871361991332215","0.603197021934055","-1.34","3.33","-0.239570108766553","0.603366830632064","-2.45","2.22","25.1390277116162","6.83769981305613","4.1","35.09","45.54794","56.82648","GEOID99   ",
"CRMS0251-H01","2006","6/13/2006 5:00:00 PM","12/31/2006 11:00:00 PM","14.2302522190904","3.36365231043813","3.76","25.67","0.854964920059771","0.34661145271193","0.17","2.23","-0.0504695091047764","0.346921523353999","-0.73","1.32","24.41293934065","7.98542179778167","-1.6","39.2","51.59818","42.30594","GEOID99   ",
"CRMS0253-H01","2006","6/13/2006 1:00:00 PM","12/31/2006 11:00:00 PM","11.1725628643465","3.21898209180332","2.21","22.65","0.807734391182174","0.419632249262358","-0.09","2.9","-0.321605999939868","0.419727328432125","-1.22","1.77","24.7792723315558","7.45944951843792","-1.57","36.21","52.2032","51.74658","GEOID99   ",
"CRMS0268-H01","2006","7/11/2006 2:00:00 PM","12/31/2006 11:00:00 PM","0.517904850427403","0.186750972328166","0.14","1.08","1.0556343122726","0.420143536417032","-0.15","2","","","","","22.9397284895225","6.55192521302617","7.39","31.5","47.51142","47.51142","GEOID99   ",
"CRMS0268-M01","2006","7/11/2006 1:00:00 PM","12/31/2006 11:00:00 PM","0.380045639646761","0.0694740473590247","0.27","0.55","1.0556343122726","0.420143536417032","-0.15","2","-0.811838056969133","0.260494064909231","-1.16","0.1","20.078188829745","2.13982330984478","15.65","23.56","47.52283","47.51142","GEOID99   ",
"CRMS0273-M01","2006","8/3/2006 11:00:00 AM","12/31/2006 11:00:00 PM","1.23505954014829","0.20053879232272","0.91","1.96","0.970952382042714","0.531613864827931","-0.05","2.25","-0.102090833441962","0.257088058067848","-0.58","0.75","20.592866238383","4.86324276395779","5.95","27.2","41.22146","26.36986","GEOID99   ",
"CRMS0273-W01","2006","8/3/2006 11:00:00 AM","12/31/2006 11:00:00 PM","","","","","0.971021204026217","0.531518447975235","-0.05","2.25","","","","","","","","","0","26.38128","GEOID99   ",
"CRMS0292-H01","2006","5/12/2006 11:00:00 AM","12/31/2006 11:00:00 PM","27.6693522475772","3.05809710086639","12.18","33.82","0.745456816026639","0.653143898722103","-1.2","2.8","-0.339946466019453","0.65319986625197","-2.28","1.71","25.9329193297835","7.00745243131881","2.41","39.62","63.9726","63.9726","GEOID99   ",
"CRMS0293-H01","2006","6/7/2006 2:00:00 PM","12/31/2006 11:00:00 PM","10.7318404698578","3.54260355832539","3.4","23.63","0.761691781449131","0.510348289513212","-1.27","2.67","-0.653803494876606","0.510332762944623","-2.68","1.25","25.1426502056861","7.17019452833258","2.02","37.71","56.81507","56.81507","GEOID99   ",
"CRMS0294-H01","2006","4/25/2006 2:00:00 PM","12/31/2006 11:00:00 PM","0.721073754773113","1.27078299249159","0.17","12.61","1.18857419477699","0.341439282415003","0.21","2.6","","","","","25.3793821506906","6.49774573666401","6.44","34.9","64.8516","64.8516","GEOID99   ",
"CRMS0294-M01","2006","4/25/2006 5:00:00 PM","12/31/2006 11:00:00 PM","4.14427149243958","0.323290359203301","3.34","5.23","1.20712991544234","0.346913172894389","0.21","2.6","-0.338479181926456","0.308867811740744","-1.16","1.01","22.4321131039115","2.59932301111018","15.61","25.26","62.99087","59.22375","GEOID99   ",
"CRMS0296-M01","2006","4/25/2006 11:00:00 AM","12/31/2006 11:00:00 PM","4.34992788855639","0.17874497012429","4.01","4.89","1.20168662657162","0.273379163580688","0.79","2.8","-0.0855422491720163","0.228986516885056","-0.43","1.44","22.4262963556201","2.06268522003027","17.58","25.49","60.1484","68.63013","GEOID99   ",
"CRMS0296-W01","2006","4/25/2006 10:00:00 AM","12/31/2006 11:00:00 PM","","","","","1.20166805238349","0.27336022095827","0.79","2.8","","","","","22.5806136958396","3.5505053226678","13.78","26.19","0","68.64156","GEOID99   ",
"CRMS0302-H01","2006","6/6/2006 3:00:00 PM","12/31/2006 11:00:00 PM","25.3913205197545","3.31136174789317","14.54","35.03","0.802489492742165","0.728322159034538","-1.68","4.12","-0.31751050639876","0.728322159746802","-2.8","3","25.1788875510951","7.12640643531316","4.81","34.9","57.05479","57.04338","GEOID99   ",
"CRMS0303-H01","2006","6/15/2006 12:00:00 PM","12/31/2006 11:00:00 PM","16.8770722967242","4.29200494974003","2.16","28.91","0.688021522487162","0.717198546025552","-1.36","3.45","-0.57197847505096","0.717198543075461","-2.62","2.19","25.338785874939","7.34230177182913","0.69","38.48","41.36987","41.36987","GEOID99   ",
"CRMS0305-H01","2006","12/6/2006 3:00:00 PM","12/31/2006 11:00:00 PM","1.34261156623521","0.836682851695202","0.24","5.17","0.48120661251678","0.754189205765322","-1.51","2.48","-0.888793387728905","0.754189204975528","-2.88","1.11","14.0805582785841","3.65644301595346","0.32","19.93","6.906393","6.906393","GEOID99   ",
"CRMS0309-H01","2006","6/7/2006 1:00:00 PM","12/31/2006 11:00:00 PM","10.7848226931078","2.83972369443399","4.05","19.91","0.629550088070257","0.655091374486622","-1.38","2.95","-0.666077127054347","0.655065381425685","-2.68","1.65","25.9546210018667","6.65648604075209","5.74","35.66","51.50685","51.50685","GEOID99   ",
"CRMS0310-H01","2006","11/13/2006 4:00:00 PM","12/31/2006 11:00:00 PM","22.5939295744874","3.78434932843895","8.23","26.55","0.701087785678567","0.588384510294835","-0.47","2.47","-0.188912214496251","0.5883845110482","-1.36","1.58","15.3177068994477","4.17580124545725","-1.42","23.51","12.31735","11.96347","GEOID99   ",
"CRMS0311-H01","2006","6/5/2006 1:00:00 PM","12/31/2006 11:00:00 PM","20.676864035469","3.05425948212564","6.49","27.27","0.851637375974158","0.572814208331357","-0.53","3.15","","","","","25.0777351216758","6.69009228082742","0.16","36.84","53.40183","53.26484","GEOID99   ",
"CRMS0312-H01","2006","5/2/2006 9:00:00 AM","12/31/2006 11:00:00 PM","5.75423526779131","2.0065519642382","2.61","16.36","0.979306529743814","0.461498977400264","-0.36","3.43","","","","","25.5560944324299","6.37917363480105","6.38","36.8","53.66439","53.66439","GEOID99   ",
"CRMS0312-M01","2006","5/2/2006 10:00:00 AM","12/31/2006 11:00:00 PM","9.46070438280131","1.33839850529104","6.95","14.72","0.927783628113393","0.412063097984244","-0.36","2.18","-0.166091844222101","0.319922740559789","-0.97","0.93","22.8038289868016","2.55398390407195","16.42","27.31","56.88356","47.69406","GEOID99   ",
"CRMS0315-H01","2006","6/13/2006 11:00:00 AM","12/31/2006 11:00:00 PM","15.1781769299966","3.39080837949923","-0.02","21.08","1.06135678584758","0.59687487737861","-0.05","2.69","-0.212185930114371","0.597320207387615","-1.33","1.42","24.5731365529335","7.15214897438889","-2.22","39.04","53.1621","4.543379","GEOID99   ",
"CRMS0318-H01","2006","11/13/2006 1:00:00 PM","12/31/2006 11:00:00 PM","23.1051892745067","4.22469075501857","4.95","28","0.705370034413943","0.635868372436144","-0.22","2.84","-0.264629959510404","0.635868369617673","-1.19","1.87","14.7624505672392","5.19825056542198","-1.49","26.55","11.46119","12.6484","GEOID99   ",
"CRMS0322-H01","2006","4/28/2006 1:00:00 PM","12/31/2006 11:00:00 PM","18.4482131967965","3.81442715449554","6.65","26.99","0.825914448817879","0.447245247683635","-0.62","2.88","-0.284085550384063","0.447245246914055","-1.73","1.77","25.5819888914141","6.50283653199322","1.71","37.17","67.78539","67.78539","GEOID99   ",
"CRMS0326-H01","2006","4/28/2006 10:00:00 AM","12/31/2006 11:00:00 PM","11.0475448777143","3.09800027205997","2.11","23.9","0.83854599370523","0.52943504411272","-0.71","3","-0.394454006125352","0.529435043381156","-1.943","1.767","25.2353078591187","6.5140578919443","1.64","35.53","52.77397","61.55251","GEOID99   ",
"CRMS0331-H01","2006","6/28/2006 11:00:00 AM","12/31/2006 11:00:00 PM","0.776159915608647","0.519480987976103","0.19","3.25","1.157475246524","0.424236072685959","-0.09","2.62","","","","","24.2977765465848","7.50344340337439","8.25","55","43.40182","48.42466","GEOID99   ",
"CRMS0331-M01","2006","6/28/2006 9:00:00 AM","12/31/2006 11:00:00 PM","0.589316811338549","0.217363566483284","0.33","1.41","1.15748762568771","0.424186831910371","-0.09","2.62","-0.00108729621599657","0.166336538224004","-0.35","0.72","22.2307077617777","3.32767058321608","15.23","27.13","51.13014","48.43607","GEOID99   ",
"CRMS0332-H01","2006","4/27/2006 10:00:00 AM","12/31/2006 11:00:00 PM","10.8254441573265","4.33065371270682","2.8","25.86","0.724720744304161","0.563926328487109","-1.35","2.38","-0.731279255317628","0.563926328701336","-2.806","0.924","23.4811622338092","7.23467445709953","3.88","36.61","42.92237","42.92237","GEOID99   ",
"CRMS0336-H01","2006","6/6/2006 12:00:00 PM","12/31/2006 11:00:00 PM","23.7352159082732","3.53104437390951","5.83","31.24","0.747571428058048","0.703354937768721","-0.78","2.57","-0.303928570232044","0.703696712627184","-1.84","1.52","25.1846342950562","7.16444054818746","-1.59","35.26","56.31279","4.79452","GEOID99   ",
"CRMS0337-H01","2006","5/11/2006 10:00:00 AM","12/31/2006 11:00:00 PM","23.5187632326921","2.79641328577379","11.97","29.78","0.821202792162257","0.644582940473114","-0.57","3.48","-0.210797208565028","0.644582941308052","-1.602","2.448","25.2522259713765","6.83042543675513","-1.61","38.23","62.57991","63.77854","GEOID99   ",
"CRMS0338-H01","2006","6/6/2006 3:00:00 PM","12/31/2006 11:00:00 PM","21.1897152554173","3.18780323132243","7.45","28.08","0.821752447843974","0.698930727146351","-0.9","3.48","-0.0932475521350562","0.698930726584639","-1.815","2.565","23.9598092980227","7.12880492469313","0.7","36.94","36.88356","45.46804","GEOID99   ",
"CRMS0345-H01","2006","11/8/2006 3:00:00 PM","12/31/2006 11:00:00 PM","30.8823164372505","3.89624379522264","19.62","38.46","0.0644652615770244","0.714950860627608","-1.53","1.98","-0.511534737585553","0.714950860097205","-2.106","1.404","14.9940827564743","4.35910330911604","1.87","26.65","9.018265","14.62329","GEOID99   ",
"CRMS0347-H01","2006","6/8/2006 4:00:00 PM","12/31/2006 11:00:00 PM","23.2572328706855","2.75192213417224","12.11","31.07","0.587631701710601","0.535011268569678","-0.33","2.97","0.0416317019906842","0.535011268744591","-0.876","2.424","24.7566081986276","7.37087138040118","-1.1","41.09","50","48.9726","GEOID99   ",
