"Site_id","Longitude","Latitude","veg_year","Marsh_Class","Basin"
"CRMS0226",-89.88548,29.51234,2006,"Saline","Barataria"
"CRMS0232",-90.01048,29.49783,2006,"Saline","Barataria"
"CRMS0237",-89.94798,29.47605,2006,"Saline","Barataria"
"CRMS0251",-90.01048,29.5196,2006,"Brackish","Barataria"
"CRMS0253",-90.07299,29.55589,2006,"Brackish","Barataria"
"CRMS0268",-90.60425,29.79541,2006,"Fresh","Barataria"
"CRMS0273",-90.32299,29.81718,2006,"Fresh","Barataria"
"CRMS0276",-89.94798,29.62121,2006,"Brackish","Barataria"
"CRMS0278",-90.22924,29.80993,2006,"Fresh","Barataria"
"CRMS0292",-90.22924,29.14218,2006,"Saline","Terrebonne"
"CRMS0293",-91.19802,29.24379,2006,"Brackish","Terrebonne"
"CRMS0294",-90.94801,29.41798,2006,"Fresh","Terrebonne"
"CRMS0296",-90.91676,29.41798,2006,"Fresh","Terrebonne"
"CRMS0302",-90.91699,29.14783,2006,"Saline","Terrebonne"
"CRMS0303",-91.07301,29.24379,2006,"Saline","Terrebonne"
"CRMS0305",-91.19802,29.38895,2006,"Intermediate","Terrebonne"
"CRMS0309",-91.19802,29.25105,2006,"Brackish","Terrebonne"
"CRMS0310",-90.29328,29.29463,2006,"Saline","Terrebonne"
"CRMS0311",-90.79176,29.21476,2006,"Saline","Terrebonne"
"CRMS0312",-90.3855,29.50508,2006,"Intermediate","Terrebonne"
"CRMS0315",-90.573,29.40347,2006,"Brackish","Terrebonne"
"CRMS0318",-90.32546,29.29465,2006,"Saline","Terrebonne"
"CRMS0319",-90.32471,29.32367,2006,"Saline","Terrebonne"
"CRMS0322",-91.10454,29.24379,2006,"Saline","Terrebonne"
"CRMS0326",-91.07301,29.27282,2006,"Brackish","Terrebonne"
"CRMS0327",-91.07301,29.44702,2006,"Fresh","Terrebonne"
"CRMS0331",-90.54175,29.58492,2006,"Fresh","Terrebonne"
"CRMS0332",-91.04176,29.30185,2006,"Saline","Terrebonne"
"CRMS0335",-90.38772,29.27286,2006,"Saline","Terrebonne"
"CRMS0336",-90.38642,29.32365,2006,"Saline","Terrebonne"
"CRMS0337",-90.35593,29.30915,2006,"Saline","Terrebonne"
"CRMS0338",-90.41821,29.33091,2006,"Saline","Terrebonne"
"CRMS0341",-90.51227,29.30914,2006,"Saline","Terrebonne"
"CRMS0345",-90.76129,29.17122,2006,"Saline","Terrebonne"
"CRMS0347",-90.69962,29.16397,2006,"Saline","Terrebonne"
"CRMS0354",-91.01051,29.33088,2006,"Intermediate","Terrebonne"
"CRMS0355",-90.54149,29.29663,2006,"Saline","Terrebonne"
"CRMS0367",-90.573,29.62847,2006,"Fresh","Terrebonne"
"CRMS0371",-91.07301,29.42524,2006,"Fresh","Terrebonne"
"CRMS0374",-90.793,29.1567,2006,"Saline","Terrebonne"
"CRMS0376",-90.85667,29.12767,2006,"Saline","Terrebonne"
"CRMS0381",-90.85426,29.44702,2006,"Fresh","Terrebonne"
"CRMS0382",-90.85426,29.4325,2006,"Fresh","Terrebonne"
"CRMS0383",-90.94888,29.2075,2006,"Saline","Terrebonne"
"CRMS0385",-90.60425,29.41073,2006,"Brackish","Terrebonne"
"CRMS0386",-90.35425,29.4325,2006,"Saline","Terrebonne"
"CRMS0387",-90.323,29.41073,2006,"Brackish","Terrebonne"
"CRMS0390",-90.66676,29.46879,2006,"Intermediate","Terrebonne"
"CRMS0392",-90.66676,29.45428,2006,"Intermediate","Terrebonne"
"CRMS0394",-90.85426,29.35992,2006,"Brackish","Terrebonne"
"CRMS0395",-90.88551,29.35992,2006,"Brackish","Terrebonne"
"CRMS0396",-90.88551,29.3454,2006,"Brackish","Terrebonne"
"CRMS0397",-90.26049,29.35266,2006,"Saline","Terrebonne"
"CRMS0398",-90.91676,29.38895,2006,"Intermediate","Terrebonne"
"CRMS0399",-91.10426,29.30185,2006,"Intermediate","Terrebonne"
"CRMS0400",-90.5105,29.49057,2006,"Intermediate","Terrebonne"
"CRMS0416",-90.47925,29.47605,2006,"Fresh","Terrebonne"
"CRMS0421",-90.82439,29.17122,2006,"Saline","Terrebonne"
"CRMS0434",-90.72926,29.32363,2006,"Saline","Terrebonne"
"CRMS0461",-91.32302,29.58492,2006,"Fresh","Atchafalaya"
"CRMS0463",-91.32302,29.49057,2006,"Fresh","Atchafalaya"
"CRMS0464",-91.38552,29.5196,2006,"Fresh","Atchafalaya"
"CRMS0465",-91.38552,29.54137,2006,"Fresh","Atchafalaya"
"CRMS0484",-91.44803,29.49056,2006,"Fresh","Atchafalaya"
"CRMS0488",-91.54178,29.70831,2006,"Fresh","Teche/Vermilion"
"CRMS0489",-91.54178,29.59944,2006,"Fresh","Teche/Vermilion"
"CRMS0490",-91.51053,29.67928,2006,"Fresh","Teche/Vermilion"
"CRMS0494",-91.79178,29.7446,2006,"Intermediate","Teche/Vermilion"
"CRMS0498",-91.85429,29.49783,2006,"Brackish","Teche/Vermilion"
"CRMS0499",-91.85429,29.57041,2006,"Brackish","Teche/Vermilion"
"CRMS0504",-91.88554,29.53412,2006,"Brackish","Teche/Vermilion"
"CRMS0508",-92.22929,29.64299,2006,"Intermediate","Teche/Vermilion"
"CRMS0514",-91.82304,29.85347,2006,"Intermediate","Teche/Vermilion"
"CRMS0517",-91.57303,29.64299,2006,"Intermediate","Teche/Vermilion"
"CRMS0520",-91.88554,29.58492,2006,"Brackish","Teche/Vermilion"
"CRMS0522",-91.82304,29.49782,2006,"Brackish","Teche/Vermilion"
"CRMS0524",-91.82304,29.54863,2006,"Intermediate","Teche/Vermilion"
"CRMS0527",-91.85429,29.70831,2006,"Saline","Teche/Vermilion"
"CRMS0529",-91.91679,29.59944,2006,"Brackish","Teche/Vermilion"
"CRMS0530",-92.01054,29.57767,2006,"Brackish","Teche/Vermilion"
"CRMS0531",-91.94804,29.85347,2006,"Brackish","Teche/Vermilion"
"CRMS0532",-91.94804,29.82444,2006,"Intermediate","Teche/Vermilion"
"CRMS0536",-92.26054,29.58492,2006,"Brackish","Teche/Vermilion"
"CRMS0542",-91.63553,29.80266,2006,"Fresh","Teche/Vermilion"
"CRMS0543",-91.63553,29.75186,2006,"Fresh","Teche/Vermilion"
"CRMS0544",-91.57303,29.68654,2006,"Intermediate","Teche/Vermilion"
"CRMS0549",-91.85429,29.8317,2006,"Brackish","Teche/Vermilion"
"CRMS0551",-91.54178,29.70105,2006,"Intermediate","Teche/Vermilion"
"CRMS0553",-93.01057,29.84623,2006,"Fresh","Mermentau"
"CRMS0554",-92.6668,29.83171,2006,"Intermediate","Mermentau"
"CRMS0557",-92.66681,29.94058,2006,"Intermediate","Mermentau"
"CRMS0560",-92.5418,29.85348,2006,"Fresh","Mermentau"
"CRMS0562",-92.76056,29.76639,2006,"Intermediate","Mermentau"
"CRMS0565",-92.44805,29.79541,2006,"Fresh","Mermentau"
"CRMS0567",-92.44805,29.90428,2006,"Fresh","Mermentau"
"CRMS0568",-92.4168,29.78815,2006,"Fresh","Mermentau"
"CRMS0570",-92.38555,29.80267,2006,"Fresh","Mermentau"
"CRMS0571",-92.29179,29.70831,2006,"Intermediate","Mermentau"
"CRMS0574",-92.63555,29.79542,2006,"Fresh","Mermentau"
"CRMS0576",-92.4793,29.59219,2006,"Intermediate","Mermentau"
"CRMS0580",-92.32305,29.6067,2006,"Intermediate","Mermentau"
"CRMS0581",-92.72931,29.66477,2006,"Brackish","Mermentau"
"CRMS0583",-92.91681,29.83896,2006,"Intermediate","Mermentau"
"CRMS0584",-92.85431,29.79542,2006,"Brackish","Mermentau"
"CRMS0588",-92.82306,29.77364,2006,"Brackish","Mermentau"
"CRMS0589",-92.82306,29.66477,2006,"Brackish","Mermentau"
"CRMS0590",-92.82306,29.93332,2006,"Fresh","Mermentau"
"CRMS0593",-92.76056,29.99139,2006,"Fresh","Mermentau"
"CRMS0595",-92.63555,29.85348,2006,"Intermediate","Mermentau"
"CRMS0599",-92.66681,29.6067,2006,"Brackish","Mermentau"
"CRMS0603",-92.76056,29.80268,2006,"Intermediate","Mermentau"
"CRMS0605",-92.91682,29.86074,2006,"Intermediate","Mermentau"
"CRMS0608",-92.6668,29.67203,2006,"Intermediate","Mermentau"
"CRMS0609",-92.6043,29.63574,2006,"Brackish","Mermentau"
"CRMS0610",-92.63555,29.6067,2006,"Brackish","Mermentau"
"CRMS0615",-92.82306,29.67929,2006,"Intermediate","Mermentau"
"CRMS0616",-92.26054,29.73009,2006,"Intermediate","Mermentau"
"CRMS0618",-92.26054,29.73735,2006,"Brackish","Mermentau"
"CRMS0619",-92.26054,29.68654,2006,"Intermediate","Mermentau"
"CRMS0623",-92.51055,29.63573,2006,"Brackish","Mermentau"
"CRMS0624",-92.88556,29.86074,2006,"Intermediate","Mermentau"
"CRMS0626",-92.6043,29.6938,2006,"Intermediate","Mermentau"
"CRMS0630",-92.79182,29.78626,2006,"Intermediate","Mermentau"
"CRMS0632",-92.38555,29.57041,2006,"Brackish","Mermentau"
"CRMS0633",-92.32304,29.56315,2006,"Intermediate","Mermentau"
"CRMS0635",-93.47932,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0638",-93.51057,29.868,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0639",-93.47932,29.88977,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0641",-93.51057,29.89703,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0642",-93.47932,29.868,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0647",-93.47932,29.84623,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0650",-93.13557,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0651",-93.51057,29.96236,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0655",-93.41682,29.79542,2006,"Brackish","Calcasieu/Sabine"
"CRMS0656",-93.26057,30.02042,2006,"Brackish","Calcasieu/Sabine"
"CRMS0660",-93.66682,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0665",-93.69807,29.96236,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0669",-93.72932,29.88251,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0672",-93.41682,29.83171,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0677",-93.54182,29.85349,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0680",-93.51057,29.77365,2006,"Brackish","Calcasieu/Sabine"
"CRMS0682",-93.57307,29.82445,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0683",-93.66682,29.88977,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0685",-93.38557,29.88977,2006,"Saline","Calcasieu/Sabine"
"CRMS0691",-93.10432,29.96235,2006,"Fresh","Calcasieu/Sabine"
"CRMS0693",-93.63557,29.89703,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0978",-90.29251,29.32365,2006,"Saline","Terrebonne"
"CRMS1130",-92.38555,29.70106,2006,"Intermediate","Mermentau"
"CRMS1277",-92.4793,29.82445,2006,"Fresh","Mermentau"
"CRMS1413",-93.01057,29.89703,2006,"Fresh","Mermentau"
"CRMS1446",-92.82306,29.92606,2006,"Fresh","Mermentau"
"CRMS1858",-93.51057,29.83897,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2154",-93.69807,29.84623,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2156",-93.69807,29.87526,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2189",-93.76058,29.92606,2006,"Brackish","Calcasieu/Sabine"
"CRMS2219",-93.60432,29.76639,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2334",-93.51057,29.88252,2006,"Fresh","Calcasieu/Sabine"
"CRMS2568",-91.35427,29.56315,2006,"Fresh","Atchafalaya"
"CRMS2785",-91.04176,29.50508,2006,"Fresh","Terrebonne"
"CRMS3565",-90.10424,29.49783,2006,"Brackish","Barataria"
"CRMS3590",-89.94798,29.48331,2006,"Saline","Barataria"
"CRMS4455",-90.94801,29.2583,2006,"Saline","Terrebonne"
"CRMS4529",-89.82298,29.46879,2006,"Saline","Barataria"
"CRMS4690",-90.04174,29.49783,2006,"Saline","Barataria"
